,bin,time(ms),color change & not first & correct,no color change & not first & correct,
209049931,27,657,0.76064,0.83038,
209049931,28,682,0.5891,1.4026,
209049931,29,707,0.67884,1.6434,
209049931,30,732,0.88712,1.4273,
209049931,31,758,0.98382,1.4085,
209049931,32,783,0.92996,1.2714,
209049931,33,808,1.1076,1.4813,
209049931,34,833,1.0895,1.3579,
209049931,35,859,1.1658,1.8696,
209049931,36,884,1.1935,1.4204,
209049931,37,909,1.3244,1.1424,
209049931,38,934,1.29,1.7218,
209049931,39,960,1.594,1.5819,
209049931,40,985,0.76216,1.497,
209049931,41,1010,1.1719,1.7148,
209049931,42,1035,1.383,1.5391,
209049931,43,1061,1.1312,1.5342,
209049931,44,1086,1.3295,0.90587,
209049931,45,1111,1.1636,1.1568,
209049931,46,1136,1.4156,1.2657,
209049931,47,1162,1.9515,1.5623,
209049931,48,1187,1.468,1.1337,
209049931,49,1212,1.3533,1.2456,
209049931,50,1238,1.6234,1.3826,
209049931,51,1263,1.5225,1.1327,
209049931,52,1288,0.87343,0.37818,
209049931,53,1313,1.1838,0.37324,
209049931,54,1339,0.82565,0.72565,
209049931,55,1364,0.92423,0.41587,
209049931,56,1389,0.87869,-0.020129,
209049931,57,1414,0.64777,0.10034,
209049931,58,1440,0.71453,0.087864,
209049931,59,1465,0.51926,0.18307,
209049931,60,1490,0.87458,-0.7399,
209049931,61,1515,0.34626,-0.34071,
209049931,62,1541,0.47538,-0.42176,
209049931,63,1566,0.073996,-0.48465,
209049931,64,1591,0.46629,-0.42401,
209049931,65,1616,0.39904,-0.87173,
209049931,66,1642,0.13909,-0.43539,
209049931,67,1667,-0.12528,-0.38446,
209049931,68,1692,0.11678,-0.77034,
209049931,69,1717,-0.0033726,-0.85557,
209049931,70,1743,0.77397,-0.84217,
209049931,71,1768,0.52655,-0.52818,
209049931,72,1793,0.5493,-0.95977,
209049931,73,1818,0.19214,-0.78518,
209049931,74,1844,0.30345,-0.81014,
209049931,75,1869,0.18551,-0.725,
209049931,76,1894,-0.11086,-0.6153,
209049931,77,1919,0.0067869,-0.99522,
209049931,78,1945,-0.2108,-1.0935,
209049931,79,1970,-0.37599,-1.0621,
209049931,80,1995,-0.50137,-0.88752,
209049931,81,2020,-0.51481,-1.2062,
209049931,82,2046,-0.92383,-0.92743,
209049931,83,2071,-0.55656,-1.2129,
209049931,84,2096,-0.86158,-1.2252,
209049931,85,2121,-1.4188,-1.5244,
209049931,86,2147,-1.65,-1.8491,
209049931,87,2172,-2.3591,-1.785,
209049931,88,2197,-2.0366,-1.7517,
209049931,89,2222,-0.91535,-1.9189,
209049931,90,2248,-1.693,-1.7489,
209049931,91,2273,-1.6367,-2.1137,
209049931,92,2298,-2.0798,-2.042,
209049931,93,2323,-1.9292,-1.5535,
209049931,94,2349,-2.1059,
209049931,95,2374,-2.0622,
209049931,96,2399,-1.9115,
209049931,97,2424,-1.8465,
209049931,98,2450,-2.2011,
209049931,99,2475,-1.8244,
209154863,1,0,0,0,
209154863,2,25,-0.38155,0.19188,
209154863,3,50,-0.31096,0.2855,
209154863,4,76,-0.82765,-0.12746,
209154863,5,101,-0.64187,-0.039195,
209154863,6,126,-0.98595,-0.0073645,
209154863,7,151,-0.88463,-0.30451,
209154863,8,176,-1.2437,-0.074678,
209154863,9,202,-1.1244,-0.24347,
209154863,10,227,-1.3525,-0.37872,
209154863,11,252,-1.2879,-0.40793,
209154863,12,277,-1.4904,-0.27237,
209154863,13,302,-1.5581,-0.1524,
209154863,14,327,-1.4184,-0.25005,
209154863,15,353,-1.6065,-0.095793,
209154863,16,378,-1.9155,-0.2379,
209154863,17,403,-1.9536,-0.15235,
209154863,18,428,-1.955,-0.26803,
209154863,19,453,-1.7716,-0.2835,
209154863,20,479,-1.7942,-0.34095,
209154863,21,504,-2.1277,-0.089864,
209154863,22,529,-1.8572,-0.28516,
209154863,23,554,-1.7277,-0.17905,
209154863,24,579,-1.8295,-0.20966,
209154863,25,605,-1.9021,-0.01094,
209154863,26,630,-1.6241,0.025042,
209154863,27,655,-1.5232,0.14706,
209154863,28,680,-1.5111,-0.06475,
209154863,29,705,-1.3903,0.11029,
209154863,30,730,-1.3478,0.088326,
209154863,31,756,-1.5466,0.31447,
209154863,32,781,-1.036,0.11636,
209154863,33,806,-1.2109,0.14033,
209154863,34,831,-1.0906,0.36897,
209154863,35,856,-0.82552,0.59848,
209154863,36,882,-1.1559,0.58401,
209154863,37,907,-0.83478,0.73926,
209154863,38,932,-0.93377,0.88885,
209154863,39,957,-0.76923,0.69734,
209154863,40,982,-0.72363,1.0021,
209154863,41,1008,-0.78012,0.9401,
209154863,42,1033,-0.49219,1.2922,
209154863,43,1058,-0.19122,1.2346,
209154863,44,1083,-0.12767,1.3247,
209154863,45,1108,-0.10082,1.3349,
209154863,46,1134,-0.082787,1.7078,
209154863,47,1159,0.12558,1.5139,
209154863,48,1184,0.25612,1.4459,
209154863,49,1209,0.080416,1.9004,
209154863,50,1234,0.17736,1.8455,
209154863,51,1259,0.25404,1.9964,
209154863,52,1285,0.57739,2.0458,
209154863,53,1310,0.55487,2.1323,
209154863,54,1335,0.57185,2.3154,
209154863,55,1360,0.75301,2.4718,
209154863,56,1385,0.95425,2.4383,
209154863,57,1411,0.90683,2.5961,
209154863,58,1436,0.95254,2.5084,
209154863,59,1461,1.1101,2.6785,
209154863,60,1486,1.0145,2.5927,
209154863,61,1511,0.77434,2.4492,
209154863,62,1537,0.67857,2.4369,
209154863,63,1562,0.60408,2.2195,
209154863,64,1587,0.5501,2.0537,
209154863,65,1612,0.12929,1.8083,
209154863,66,1637,-0.14085,1.6688,
209154863,67,1663,-0.27862,1.6297,
209154863,68,1688,-0.50731,1.439,
209154863,69,1713,-0.56078,1.2741,
209154863,70,1738,-0.51347,1.4908,
209154863,71,1763,-0.57879,1.2553,
209154863,72,1788,-0.78841,0.85876,
209154863,73,1814,-0.78153,1.0855,
209154863,74,1839,-1.0162,1.1557,
209154863,75,1864,-1.2578,0.76725,
209154863,76,1889,-0.95553,0.94409,
209154863,77,1914,-0.69886,0.91908,
209154863,78,1940,-0.85852,0.83542,
209154863,79,1965,-0.47264,1.0251,
209154863,80,1990,-0.54973,0.99069,
209154863,81,2015,-0.34077,1.0012,
209154863,82,2040,-0.40357,0.68215,
209154863,83,2066,-0.5901,1.0702,
209154863,84,2091,-0.55973,0.77746,
209154863,85,2116,-0.4398,0.66792,
209154863,86,2141,-0.33788,1.0982,
209154863,87,2166,-0.4041,1.0975,
209154863,88,2191,-0.40303,0.80062,
209154863,89,2217,-0.54359,0.92274,
209154863,90,2242,-0.39623,0.70095,
209154863,91,2267,-0.74101,0.78418,
209154863,92,2292,-0.97031,0.73581,
209154863,93,2317,-0.81719,0.83223,
209154863,94,2343,-0.80009,0.50091,
209154863,95,2368,-0.70706,0.42862,
209154863,96,2393,-1.0408,0.5482,
209154863,97,2418,-0.96591,0.65053,
209154863,98,2443,-1.0073,0.4575,
209154863,99,2469,-1.0501,0.33186,
209154863,100,2494,-1.2229,0.25066,
