,bin,time(ms),not first & no update & correct,not first & update & correct,
208827162,41,1010,3.3413,3.3778,
208827162,42,1036,3.3111,3.3602,
208827162,43,1061,3.3442,3.3758,
208827162,44,1086,3.3035,3.3894,
208827162,45,1111,3.3375,3.3996,
208827162,46,1137,3.3669,3.3795,
208827162,47,1162,3.3265,3.3664,
208827162,48,1187,3.3004,3.3703,
208827162,49,1212,3.3273,3.364,
208827162,50,1238,3.3393,3.3837,
208827162,51,1263,3.3397,3.3854,
208827162,52,1288,3.3549,3.4052,
208827162,53,1313,3.3607,3.379,
208827162,54,1339,3.3625,3.4086,
208827162,55,1364,3.3331,3.386,
208827162,56,1389,3.3408,3.4135,
208827162,57,1414,3.3538,3.4036,
208827162,58,1440,3.3567,3.3922,
208827162,59,1465,3.3849,3.3908,
208827162,60,1490,3.3668,3.4055,
208827162,61,1515,3.3746,3.3999,
208827162,62,1541,3.3742,3.4086,
208827162,63,1566,3.3991,3.4503,
208827162,64,1591,3.4004,3.4231,
208827162,65,1616,3.3697,3.401,
208827162,66,1642,3.3843,3.3911,
208827162,67,1667,3.4061,3.3887,
208827162,68,1692,3.4053,3.3947,
208827162,69,1718,3.3825,3.3842,
208827162,70,1743,3.3558,3.3998,
208827162,71,1768,3.3632,3.3459,
208827162,72,1793,3.3661,3.3398,
208827162,73,1819,3.3504,3.3711,
208827162,74,1844,3.3282,3.3828,
208827162,75,1869,3.3297,3.3609,
208827162,76,1894,3.3168,3.3407,
208827162,77,1920,3.3156,3.3635,
208827162,78,1945,3.3156,3.4209,
208827162,79,1970,3.313,3.3991,
208827162,80,1995,3.3082,3.3955,
208827162,81,2021,3.3016,3.3797,
208827162,82,2046,3.2946,3.3611,
208827162,83,2071,3.3156,3.3704,
208827162,84,2096,3.2884,3.3502,
208827162,85,2122,3.2863,3.3225,
208827162,86,2147,3.2915,3.3782,
208827162,87,2172,3.2453,3.3945,
208827162,88,2197,3.2456,3.3293,
208827162,89,2223,3.3036,3.3163,
208827162,90,2248,3.2131,3.3315,
208827162,91,2273,3.2911,3.3258,
208827162,92,2298,3.2823,3.3331,
208827162,93,2324,3.2719,3.3395,
208827162,94,2349,3.2903,
208827162,95,2374,3.268,
208827162,96,2399,3.2748,
208827162,97,2425,3.2554,
208827162,98,2450,3.261,
209049931,1,0,2.4737,2.5119,
209049931,2,25,2.4708,2.5039,
209049931,3,51,2.4761,2.5024,
209049931,4,76,2.4676,2.509,
209049931,5,101,2.4756,2.5136,
209049931,6,126,2.4818,2.5198,
209049931,7,152,2.4821,2.5174,
209049931,8,177,2.4842,2.5224,
209049931,9,202,2.4862,2.5044,
209049931,10,227,2.4748,2.5035,
209049931,11,253,2.4865,2.5074,
209049931,12,278,2.4827,2.4969,
209049931,13,303,2.4933,2.5025,
209049931,14,328,2.4785,2.5112,
209049931,15,354,2.4946,2.5047,
209049931,16,379,2.4897,2.5023,
209049931,17,404,2.4911,2.4981,
209049931,18,429,2.4934,2.4983,
209049931,19,455,2.4887,2.5006,
209049931,20,480,2.4876,2.5022,
209049931,21,505,2.4883,2.5007,
209049931,22,530,2.4836,2.509,
209049931,23,556,2.4925,2.4971,
209049931,24,581,2.4967,2.4996,
209049931,25,606,2.4979,2.5108,
209049931,26,631,2.4993,2.5087,
209049931,27,657,2.5037,2.5098,
209049931,28,682,2.5085,2.5162,
209049931,29,707,2.5068,2.5256,
209049931,30,732,2.5082,2.5236,
209049931,31,758,2.5134,2.5234,
209049931,32,783,2.5152,2.5249,
209049931,33,808,2.5112,2.5348,
209049931,34,834,2.5044,2.5419,
209049931,35,859,2.5144,2.5443,
209049931,36,884,2.5069,2.5414,
209049931,37,909,2.5111,2.5367,
209049931,38,935,2.512,2.5473,
209049931,39,960,2.518,2.5531,
209049931,40,985,2.5033,2.5507,
209049931,41,1010,2.5109,2.5564,
209049931,42,1036,2.5171,2.5488,
209049931,43,1061,2.5067,2.5562,
209049931,44,1086,2.504,2.5487,
209049931,45,1111,2.5057,2.5507,
209049931,46,1137,2.5148,2.5505,
209049931,47,1162,2.5232,2.5583,
209049931,48,1187,2.5129,2.5462,
209049931,49,1212,2.5153,2.5501,
209049931,50,1238,2.5196,2.5533,
209049931,51,1263,2.5153,2.5522,
209049931,52,1288,2.5029,2.5442,
209049931,53,1313,2.5078,2.5472,
209049931,54,1339,2.5001,2.5567,
209049931,55,1364,2.508,2.5452,
209049931,56,1389,2.4977,2.5432,
209049931,57,1414,2.4936,2.5461,
209049931,58,1440,2.5019,2.5383,
209049931,59,1465,2.4969,2.5387,
209049931,60,1490,2.4934,2.5273,
209049931,61,1515,2.4875,2.5328,
209049931,62,1541,2.489,2.5347,
209049931,63,1566,2.4824,2.5285,
209049931,64,1591,2.4889,2.5351,
209049931,65,1616,2.4788,2.5342,
209049931,66,1642,2.4861,2.5324,
209049931,67,1667,2.4852,2.5256,
209049931,68,1692,2.487,2.5202,
209049931,69,1718,2.483,2.5197,
209049931,70,1743,2.4967,2.5307,
209049931,71,1768,2.4983,2.5302,
209049931,72,1793,2.4999,2.5269,
209049931,73,1819,2.5159,2.5196,
209049931,74,1844,2.5128,2.5343,
209049931,75,1869,2.5117,2.5347,
209049931,76,1894,2.5078,2.5388,
209049931,77,1920,2.5034,2.5335,
209049931,78,1945,2.5067,2.5286,
209049931,79,1970,2.5074,2.5306,
209049931,80,1995,2.5007,2.5426,
209049931,81,2021,2.5053,2.5309,
209049931,82,2046,2.4955,2.5385,
209049931,83,2071,2.4927,2.5479,
209049931,84,2096,2.4985,2.5358,
209049931,85,2122,2.4781,2.5387,
209049931,86,2147,2.4805,2.5297,
209049931,87,2172,2.4717,2.5254,
209049931,88,2197,2.4695,2.5348,
209049931,89,2223,2.4891,2.539,
209049931,90,2248,2.4865,2.5362,
209049931,91,2273,2.4933,2.5234,
209049931,92,2298,2.4918,2.5187,
209049931,93,2324,2.4894,2.5325,
209049931,94,2349,2.4889,2.5357,
209049931,95,2374,2.5359,
209049931,96,2399,2.5374,
209049931,97,2425,2.5389,
209049931,98,2450,2.5419,
209154863,1,0,3.7162,3.6874,
