,bin,time(ms),not first & no update & correct,not first & update & correct,
208827162,95,2374,-0.42235,
208827162,96,2399,-0.39555,
208827162,97,2425,-0.47163,
208827162,98,2450,-0.44982,
209049931,1,0,-0.36709,-0.17999,
209049931,2,25,-0.3817,-0.21896,
209049931,3,51,-0.35547,-0.22661,
209049931,4,76,-0.39737,-0.19384,
209049931,5,101,-0.35809,-0.17127,
209049931,6,126,-0.32751,-0.14126,
209049931,7,152,-0.32607,-0.15274,
209049931,8,177,-0.3159,-0.12824,
209049931,9,202,-0.30608,-0.21644,
209049931,10,227,-0.36183,-0.22104,
209049931,11,253,-0.30423,-0.20187,
209049931,12,278,-0.32289,-0.25327,
209049931,13,303,-0.27099,-0.22574,
209049931,14,328,-0.34378,-0.18347,
209049931,15,354,-0.26457,-0.21501,
209049931,16,379,-0.28866,-0.22708,
209049931,17,404,-0.28179,-0.24747,
209049931,18,429,-0.27053,-0.24669,
209049931,19,455,-0.29359,-0.23519,
209049931,20,480,-0.29899,-0.2275,
209049931,21,505,-0.29557,-0.23479,
209049931,22,530,-0.31886,-0.19412,
209049931,23,556,-0.27507,-0.25235,
209049931,24,581,-0.25461,-0.24035,
209049931,25,606,-0.24869,-0.18505,
209049931,26,631,-0.24186,-0.19553,
209049931,27,657,-0.21989,-0.18997,
209049931,28,682,-0.19653,-0.15851,
209049931,29,707,-0.20476,-0.11267,
209049931,30,732,-0.19772,-0.12221,
209049931,31,758,-0.17258,-0.12349,
209049931,32,783,-0.16381,-0.11593,
209049931,33,808,-0.18327,-0.067504,
209049931,34,834,-0.21639,-0.032512,
209049931,35,859,-0.16756,-0.020747,
209049931,36,884,-0.20432,-0.035141,
209049931,37,909,-0.1838,-0.058194,
209049931,38,935,-0.17947,-0.0061968,
209049931,39,960,-0.14975,0.022221,
209049931,40,985,-0.22206,0.010502,
209049931,41,1010,-0.18464,0.03854,
209049931,42,1036,-0.15408,0.0012371,
209049931,43,1061,-0.20531,0.037411,
209049931,44,1086,-0.21878,0.00054274,
